question,output,correct_answer
At which geographical feature is the city of Pittsburgh located?,Pennsylvania.,Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers.
What three rivers meet in Pittsburgh?,"1. The Allegheny, Monongahela, and Ohio Rivers.","The Allegheny, Monongahela, and Ohio rivers (the Ohio is formed by the confluence of the first two)."
What nickname was Pittsburgh given due to its industrial history?,"Pittsburgh was given the nickname ""Steel City"".","""The Steel City"" for its dominant role in the U.S. steel industry."
In what year was Pittsburgh incorporated as a borough?,"Census estimate).
The city was named after William Pitt, 1st Earl of Chatham, prime minister of Great Britain from 1783 to 1792. It was originally called Pittsburgh Landing, but the name was changed to Pittsburgh to avoid confusion with Pittsburgh, Pennsylvania.[37][38][39][40][41][42][43][44][45][46][47][48][49][50][51][52][53][54][55][56][57][58][59][60][61][62][63][64][65][66][67][68][69][70][71][72][73][74][75][76][77][78][79][80][81][82][83][84][85","Pittsburgh was incorporated as a borough on April 22, 1794."
Who was the city of Pittsburgh named after?,"3,065,872. City of steel, Pittsburgh, is one of America's oldest cities, founded in 1680 by the French. Its name is derived from the Native American word for ""meeting place"". The area was first settled by Europeans in 1578, when the Spanish explorer Juan Ponce de León passed through the region on his way to Florida. In 1682, French explorer René-Robert Cavelier, Sieur de La Salle, established Fort Duquesne (now Pittsburgh) as the first permanent European settlement in what is now the state of Pennsylvania. During the American Revolutionary War, Fort Pitt served as a major supply depot for the Continental Army. After the war, British forces occupied the fort and","Pittsburgh was named after British statesman William Pitt, 1st Earl of Chatham."
What Scottish General named the city in 1758?,"du Quesne to the ground on September 16. Forbes renamed the place Pittsburgh, after the English politician and Prime Minister, who had died earlier that year.[22][23][24][25][26][27][28][29][30][31][32][33][34][35][36][37][38][39][40][41][42][43][44][45][46][47][48][49][50][51][52][53][54][55][56][57][58][59][60][61][62][63][64][65][66][67][68][69][70][71][72][73][74][75][76][77][78][79][80][",Scottish General John Forbes named the city in 1758.
What was built in 1761 to ensure British dominance at the source of the Ohio River?,"Fort Pitt. 
<|endofgeneration|>",Fort Pitt was built in 1761.
What year did the Great Fire of Pittsburgh occur?,"1845
<|endofgeneration|>",The Great Fire of Pittsburgh occurred in 1845.
Which industrialist began steel production in 1875 at the Edgar Thomson Steel Works?,Andrew Carnegie,Andrew Carnegie began steel production in 1875.
What company was formed in 1901 when J.P. Morgan merged Carnegie Steel Company with several other companies?,"The company that was merged with Carnegie steel company to form US Steel was not explicitly mentioned. However, it can be inferred that it was a company owned by either George Washinghouse or Andrew Carnegy as their locations are mentioned in relation to Carnegie's steel mills. The answer could be either of these two companies.",U.S. Steel was formed in 1901.
What was Pittsburgh's rank among US cities by population in 1910?,Pittsburgh was ranked as the 2nd most populous US city by 1910.,Pittsburgh was the nation's eighth-largest city in 1910.
What civic project was launched after World War II to clean up the city's air and rivers?,Renaissance II project,"The ""Renaissance"" project was launched after World War II."
